flowID,src,dest,period[s],e2e_deadline[s],net_deadline[s],latency_bound[s],seqn,send_ts[s],rcv_ts[s],latency[s],slack[s],tightness[%]
31-1,31,1,5.0,53.0,4.26664,35.399496,44,264.24900007247925,270.1106610298157,5.861660957336426,47.138339042663574,16.558600035820923
31-1,31,1,5.0,53.0,4.26664,35.399496,45,270.26907992362976,273.28924894332886,3.0201690196990967,49.9798309803009,8.531672370982617
31-1,31,1,5.0,53.0,4.26664,35.399496,46,276.2588400840759,278.6291620731354,2.3703219890594482,50.62967801094055,6.695920159596194
31-1,31,1,5.0,53.0,4.26664,35.399496,47,282.26890206336975,282.8716700077057,0.6027679443359375,52.39723205566406,1.702758548697805
31-1,31,1,5.0,53.0,4.26664,35.399496,48,288.2899079322815,289.28095293045044,0.9910449981689453,52.008955001831055,2.7996020004605304
31-1,31,1,5.0,53.0,4.26664,35.399496,49,294.2791030406952,299.94190192222595,5.662798881530762,47.33720111846924,15.99683476151966
31-1,31,1,5.0,53.0,4.26664,35.399496,50,300.29888701438904,304.1901249885559,3.89123797416687,49.10876202583313,10.992354168451635
31-1,31,1,5.0,53.0,4.26664,35.399496,51,306.2890260219574,309.550008058548,3.260982036590576,49.739017963409424,9.211944815797874
31-1,31,1,5.0,53.0,4.26664,35.399496,52,312.29898405075073,314.8508610725403,2.551877021789551,50.44812297821045,7.208794785636358
31-1,31,1,5.0,53.0,4.26664,35.399496,53,318.299320936203,319.1309859752655,0.8316650390625,52.1683349609375,2.3493697171917365
31-1,31,1,5.0,53.0,4.26664,35.399496,54,324.31005096435547,327.67078495025635,3.360733985900879,49.63926601409912,9.493733995254845
31-1,31,1,5.0,53.0,4.26664,35.399496,55,330.32988595962524,333.0013930797577,2.6715071201324463,50.328492879867554,7.546737727939535
31-1,31,1,5.0,53.0,4.26664,35.399496,56,336.319060087204,337.2616069316864,0.9425468444824219,52.05745315551758,2.662599615775383
31-1,31,1,5.0,53.0,4.26664,35.399496,57,342.3291130065918,344.70130801200867,2.37219500541687,50.62780499458313,6.701211241586237
31-1,31,1,5.0,53.0,4.26664,35.399496,58,348.32961797714233,350.0609059333801,1.731287956237793,51.26871204376221,4.890713574672908
31-1,31,1,5.0,53.0,4.26664,35.399496,59,354.3387870788574,358.6231610774994,4.284373998641968,48.71562600135803,12.102923721405434
31-1,31,1,5.0,53.0,4.26664,35.399496,60,360.35914492607117,363.90048003196716,3.541335105895996,49.458664894104004,10.003913914186791
31-1,31,1,5.0,53.0,4.26664,35.399496,61,366.3489170074463,369.2306799888611,2.881762981414795,50.118237018585205,8.140689295166222
31-1,31,1,5.0,53.0,4.26664,35.399496,62,372.36922907829285,373.50953698158264,1.140307903289795,51.859692096710205,3.221254628285654
31-1,31,1,5.0,53.0,4.26664,35.399496,63,378.3601670265198,379.8918499946594,1.5316829681396484,51.46831703186035,4.326849648197388
31-1,31,1,5.0,53.0,4.26664,35.399496,64,384.36912298202515,385.22077202796936,0.8516490459442139,52.148350954055786,2.4058225177675236
31-1,31,1,5.0,53.0,4.26664,35.399496,65,390.38907194137573,393.7301321029663,3.341060161590576,49.658939838409424,9.438157429107399
31-1,31,1,5.0,53.0,4.26664,35.399496,66,396.3788559436798,400.1790609359741,3.8002049922943115,49.19979500770569,10.735195191181003
31-1,31,1,5.0,53.0,4.26664,35.399496,67,402.39870595932007,403.3591639995575,0.9604580402374268,52.03954195976257,2.7131969343219655
31-1,31,1,5.0,53.0,4.26664,35.399496,68,408.38896203041077,412.94912099838257,4.560158967971802,48.4398410320282,12.881988398851222
31-1,31,1,5.0,53.0,4.26664,35.399496,69,414.3990240097046,417.2006869316101,2.8016629219055176,50.19833707809448,7.914414719083903
31-1,31,1,5.0,53.0,4.26664,35.399496,70,420.41912603378296,424.6505079269409,4.231381893157959,48.76861810684204,11.953226376889544
31-1,31,1,5.0,53.0,4.26664,35.399496,71,426.4089050292969,428.9409770965576,2.532072067260742,50.46792793273926,7.152847789868935
31-1,31,1,5.0,53.0,4.26664,35.399496,72,432.4293429851532,434.24061608314514,1.8112730979919434,51.18872690200806,5.1166635197064485
31-1,31,1,5.0,53.0,4.26664,35.399496,73,438.4188449382782,443.85214495658875,5.433300018310547,47.56669998168945,15.348523657824245
31-1,31,1,5.0,53.0,4.26664,35.399496,74,444.4288730621338,450.25904607772827,5.830173015594482,47.16982698440552,16.46964978143893
31-1,31,1,5.0,53.0,4.26664,35.399496,75,450.4299499988556,453.429496049881,2.9995460510253906,50.00045394897461,8.473414567894952
31-1,31,1,5.0,53.0,4.26664,35.399496,76,456.4390139579773,458.788409948349,2.349395990371704,50.650604009628296,6.636806327332185
31-1,31,1,5.0,53.0,4.26664,35.399496,77,462.4593839645386,464.12047600746155,1.6610920429229736,51.338907957077026,4.692417211033099
31-1,31,1,5.0,53.0,4.26664,35.399496,78,468.4491629600525,469.4486780166626,0.9995150566101074,52.00048494338989,2.8235290598773144
31-1,31,1,5.0,53.0,4.26664,35.399496,79,474.4589591026306,480.1091570854187,5.650197982788086,47.349802017211914,15.961238495565263
31-1,31,1,5.0,53.0,4.26664,35.399496,80,480.45972895622253,483.29005002975464,2.8303210735321045,50.169678926467896,7.995371102266836
31-1,31,1,5.0,53.0,4.26664,35.399496,81,486.4688720703125,489.6913480758667,3.222476005554199,49.7775239944458,9.103169168154821
31-1,31,1,5.0,53.0,4.26664,35.399496,82,492.4893879890442,493.9685699939728,1.4791820049285889,51.52081799507141,4.178539730985404
31-1,31,1,5.0,53.0,4.26664,35.399496,83,498.4790070056915,499.2703070640564,0.7913000583648682,52.20869994163513,2.2353427245542368
31-1,31,1,5.0,53.0,4.26664,35.399496,84,504.5082869529724,509.95944809913635,5.45116114616394,47.54883885383606,15.398979539606836
31-1,31,1,5.0,53.0,4.26664,35.399496,85,510.48933005332947,515.2703340053558,4.781003952026367,48.21899604797363,13.50585316815349
31-1,31,1,5.0,53.0,4.26664,35.399496,86,516.4989449977875,519.5484530925751,3.0495080947875977,49.9504919052124,8.61455229415582
31-1,31,1,5.0,53.0,4.26664,35.399496,87,522.5191950798035,524.8512589931488,2.332063913345337,50.66793608665466,6.587844960689093
31-1,31,1,5.0,53.0,4.26664,35.399496,88,528.5089340209961,529.1393890380859,0.6304550170898438,52.369544982910156,1.780971732167723
31-1,31,1,5.0,53.0,4.26664,35.399496,89,534.5290830135345,538.7392070293427,4.2101240158081055,48.789875984191895,11.8931750209328
31-1,31,1,5.0,53.0,4.26664,35.399496,90,540.5190169811249,544.068932056427,3.549915075302124,49.450084924697876,10.028151460975954
31-1,31,1,5.0,53.0,4.26664,35.399496,91,546.5290839672089,548.3290619850159,1.7999780178070068,51.20002198219299,5.084756059258603
31-1,31,1,5.0,53.0,4.26664,35.399496,92,552.5492010116577,553.6525599956512,1.1033589839935303,51.89664101600647,3.116877664002703
31-1,31,1,5.0,53.0,4.26664,35.399496,93,558.5389380455017,563.2409629821777,4.702024936676025,48.297975063323975,13.282745428567754
31-1,31,1,5.0,53.0,4.26664,35.399496,94,564.5588049888611,569.649209022522,5.090404033660889,47.90959596633911,14.379877141925663
31-1,31,1,5.0,53.0,4.26664,35.399496,95,570.5488679409027,572.8489739894867,2.3001060485839844,50.699893951416016,6.49756722125079
31-1,31,1,5.0,53.0,4.26664,35.399496,96,576.5589039325714,579.242250919342,2.68334698677063,50.31665301322937,7.580184155081275
31-1,31,1,5.0,53.0,4.26664,35.399496,97,582.5598330497742,583.5152289867401,0.9553959369659424,52.04460406303406,2.6988970039741313
31-1,31,1,5.0,53.0,4.26664,35.399496,98,588.5690610408783,595.2211120128632,6.652050971984863,46.34794902801514,18.79137197881253
31-1,31,1,5.0,53.0,4.26664,35.399496,99,594.5912621021271,,,,
31-1,31,1,5.0,53.0,4.26664,35.399496,100,600.5790219306946,602.6807680130005,2.101746082305908,50.89825391769409,5.937220355639832
31-1,31,1,5.0,53.0,4.26664,35.399496,101,606.5889010429382,609.0835440158844,2.494642972946167,50.50535702705383,7.047114379668476
31-1,31,1,5.0,53.0,4.26664,35.399496,102,612.5916650295258,618.6889219284058,6.097256898880005,46.902743101119995,17.224134769828375
31-1,31,1,5.0,53.0,4.26664,35.399496,103,618.5992929935455,625.071300983429,6.472007989883423,46.52799201011658,18.28276874304488
31-1,31,1,5.0,53.0,4.26664,35.399496,104,624.6282470226288,629.3491959571838,4.720948934555054,48.279051065444946,13.336203810797345
31-1,31,1,5.0,53.0,4.26664,35.399496,105,630.6161530017853,634.6603100299835,4.044157028198242,48.95584297180176,11.424335047590063
31-1,31,1,5.0,53.0,4.26664,35.399496,106,636.6191411018372,638.9396300315857,2.320488929748535,50.679511070251465,6.555146801379701
31-1,31,1,5.0,53.0,4.26664,35.399496,107,642.6197099685669,648.5203919410706,5.900681972503662,47.09931802749634,16.66883046160788
31-1,31,1,5.0,53.0,4.26664,35.399496,108,648.6288220882416,654.9009549617767,6.272132873535156,46.727867126464844,17.718141731552215
31-1,31,1,5.0,53.0,4.26664,35.399496,109,654.6489579677582,660.2597420215607,5.61078405380249,47.38921594619751,15.849898127935184
31-1,31,1,5.0,53.0,4.26664,35.399496,110,660.6389350891113,663.4301500320435,2.791214942932129,50.20878505706787,7.884900233981098
31-1,31,1,5.0,53.0,4.26664,35.399496,111,666.6490550041199,668.7893810272217,2.1403260231018066,50.85967397689819,6.046204790886872
31-1,31,1,5.0,53.0,4.26664,35.399496,112,672.6501140594482,678.371463060379,5.721349000930786,47.278650999069214,16.162232933855293
31-1,31,1,5.0,53.0,4.26664,35.399496,113,678.658940076828,684.7507600784302,6.091820001602173,46.90817999839783,17.20877608427581
31-1,31,1,5.0,53.0,4.26664,35.399496,114,684.6790630817413,689.0313069820404,4.352243900299072,48.64775609970093,12.294649337095285
31-1,31,1,5.0,53.0,4.26664,35.399496,115,690.6688809394836,693.3105449676514,2.6416640281677246,50.358335971832275,7.462434008008828
31-1,31,1,5.0,53.0,4.26664,35.399496,116,696.6788949966431,698.628762960434,1.9498679637908936,51.050132036209106,5.508180014175608
31-1,31,1,5.0,53.0,4.26664,35.399496,117,702.6799430847168,708.2317399978638,5.551796913146973,47.44820308685303,15.683265414702438
31-1,31,1,5.0,53.0,4.26664,35.399496,118,708.6890699863434,712.4796829223633,3.7906129360198975,49.2093870639801,10.708098601234033
31-1,31,1,5.0,53.0,4.26664,35.399496,119,714.7094030380249,718.8891820907593,4.179779052734375,48.820220947265625,11.80745356582019
31-1,31,1,5.0,53.0,4.26664,35.399496,120,720.6991310119629,724.2102160453796,3.511085033416748,49.48891496658325,9.918460515417362
31-1,31,1,5.0,53.0,4.26664,35.399496,121,726.7090079784393,728.4711019992828,1.7620940208435059,51.237905979156494,4.977737595031031
31-1,31,1,5.0,53.0,4.26664,35.399496,122,732.7098979949951,734.8507730960846,2.1408751010894775,50.85912489891052,6.047755880731968
31-1,31,1,5.0,53.0,4.26664,35.399496,123,738.7188279628754,743.3817949295044,4.662966966629028,48.33703303337097,13.172410608978808
31-1,31,1,5.0,53.0,4.26664,35.399496,124,744.7398080825806,747.6607890129089,2.920980930328369,50.07901906967163,8.251476038891541
31-1,31,1,5.0,53.0,4.26664,35.399496,125,750.7290859222412,752.9979479312897,2.268862009048462,50.73113799095154,6.40930596596195
31-1,31,1,5.0,53.0,4.26664,35.399496,126,756.739156961441,759.3702189922333,2.6310620307922363,50.368937969207764,7.43248443647965
31-1,31,1,5.0,53.0,4.26664,35.399496,127,762.7590370178223,764.7005450725555,1.9415080547332764,51.058491945266724,5.4845641156396026
31-1,31,1,5.0,53.0,4.26664,35.399496,128,768.7488451004028,773.2586920261383,4.509846925735474,48.490153074264526,12.73986196225922
31-1,31,1,5.0,53.0,4.26664,35.399496,129,774.7689640522003,778.589518070221,3.82055401802063,49.17944598197937,10.79267913311712
31-1,31,1,5.0,53.0,4.26664,35.399496,130,780.7589240074158,782.8203799724579,2.0614559650421143,50.938544034957886,5.823404844639919
31-1,31,1,5.0,53.0,4.26664,35.399496,131,786.7690680027008,789.2504889965057,2.4814209938049316,50.51857900619507,7.0097636243322
31-1,31,1,5.0,53.0,4.26664,35.399496,132,792.7701179981232,794.5504570007324,1.780339002609253,51.21966099739075,5.02927782533755
31-1,31,1,5.0,53.0,4.26664,35.399496,133,798.7791609764099,799.9096529483795,1.1304919719696045,51.869508028030396,3.1935256139511266
31-1,31,1,5.0,53.0,4.26664,35.399496,134,804.8199939727783,809.4980700016022,4.6780760288238525,48.32192397117615,13.215092183300726
31-1,31,1,5.0,53.0,4.26664,35.399496,135,810.7888870239258,813.7523059844971,2.963418960571289,50.03658103942871,8.371359187066645
31-1,31,1,5.0,53.0,4.26664,35.399496,136,816.7989630699158,820.1593999862671,3.3604369163513184,49.63956308364868,9.492894803788502
31-1,31,1,5.0,53.0,4.26664,35.399496,137,822.8001110553741,828.6883640289307,5.8882529735565186,47.11174702644348,16.63371979520985
31-1,31,1,5.0,53.0,4.26664,35.399496,138,828.8090770244598,832.9213509559631,4.112273931503296,48.887726068496704,11.616758417982268
31-1,31,1,5.0,53.0,4.26664,35.399496,139,834.829628944397,837.2191030979156,2.3894741535186768,50.61052584648132,6.75002308936454
