1513435475.800951,1,1,r, 94609 structure.c 398 DATA: Node 28, packet 4 received; ETE 58000
1513435476.859137,1,1,r, 95671 structure.c 398 DATA: Node 15, packet 5 received; ETE 56000
1513435476.859137,1,1,r, 95677 structure.c 398 DATA: Node 31, packet 8 received; ETE 53000
1513435476.895150,1,1,r, 95684 structure.c 398 DATA: Node 22, packet 8 received; ETE 54000
1513435478.980811,1,1,r, 97795 structure.c 398 DATA: Node 32, packet 7 received; ETE 55000
1513435482.203727,1,1,r,101001 structure.c 398 DATA: Node 4, packet 4 received; ETE 57000
1513435482.203727,1,1,r,101007 structure.c 398 DATA: Node 33, packet 6 received; ETE 50000
1513435482.203727,1,1,r,101013 structure.c 398 DATA: Node 22, packet 9 received; ETE 54000
1513435482.203727,1,1,r,101020 structure.c 398 DATA: Node 31, packet 9 received; ETE 53000
1513435484.330836,1,1,r,103131 structure.c 398 DATA: Node 28, packet 5 received; ETE 58000
1513435484.330836,1,1,r,103137 structure.c 398 DATA: Node 15, packet 6 received; ETE 56000
1513435488.582267,1,1,r,107397 structure.c 398 DATA: Node 31, packet 10 received; ETE 53000
1513435488.610979,1,1,r,107403 structure.c 398 DATA: Node 22, packet 10 received; ETE 54000
1513435488.610979,1,1,r,107410 structure.c 398 DATA: Node 8, packet 6 received; ETE 54000
1513435489.662368,1,1,r,108463 structure.c 398 DATA: Node 33, packet 7 received; ETE 50000
1513435489.662368,1,1,r,108469 structure.c 398 DATA: Node 32, packet 8 received; ETE 55000
1513435489.662368,1,1,r,108475 structure.c 398 DATA: Node 4, packet 5 received; ETE 57000
1513435493.912425,1,1,r,112727 structure.c 398 DATA: Node 22, packet 11 received; ETE 54000
1513435493.940660,1,1,r,112733 structure.c 398 DATA: Node 31, packet 11 received; ETE 53000
1513435493.940660,1,1,r,112740 structure.c 398 DATA: Node 28, packet 6 received; ETE 58000
1513435494.999664,1,1,r,113791 structure.c 398 DATA: Node 32, packet 9 received; ETE 55000
1513435494.999664,1,1,r,113797 structure.c 398 DATA: Node 33, packet 8 received; ETE 50000
1513435499.242284,1,1,r,118057 structure.c 398 DATA: Node 31, packet 12 received; ETE 53000
1513435499.271140,1,1,r,118063 structure.c 398 DATA: Node 22, packet 12 received; ETE 54000
1513435499.271140,1,1,r,118070 structure.c 398 DATA: Node 8, packet 8 received; ETE 54000
1513435499.271140,1,1,r,118076 structure.c 398 DATA: Node 4, packet 6 received; ETE 57000
1513435500.300817,1,1,r,119114 structure.c 398 DATA: Node 15, packet 7 received; ETE 56000
1513435503.522397,1,1,r,122321 structure.c 398 DATA: Node 32, packet 10 received; ETE 55000
1513435503.522397,1,1,r,122327 structure.c 398 DATA: Node 28, packet 7 received; ETE 58000
1513435503.522397,1,1,r,122333 structure.c 398 DATA: Node 33, packet 9 received; ETE 50000
1513435504.561247,1,1,r,123378 structure.c 398 DATA: Node 8, packet 9 received; ETE 54000
1513435507.781651,1,1,r,126583 structure.c 398 DATA: Node 31, packet 13 received; ETE 53000
1513435507.781651,1,1,r,126589 structure.c 398 DATA: Node 22, packet 13 received; ETE 54000
