1513357552.364160,33,33,r,383169 structure.c 595 DATA: Node 33, packet 17 sent; IPI 19000
1513357571.885961,33,33,r,402675 structure.c 595 DATA: Node 33, packet 18 sent; IPI 19000
1513357591.374481,33,33,r,422181 structure.c 595 DATA: Node 33, packet 19 sent; IPI 19000
1513357610.895248,33,33,r,441687 structure.c 595 DATA: Node 33, packet 20 sent; IPI 19000
1513357630.384378,33,33,r,461193 structure.c 595 DATA: Node 33, packet 21 sent; IPI 19000
1513357649.894273,33,33,r,480699 structure.c 595 DATA: Node 33, packet 22 sent; IPI 19000
1513357669.415709,33,33,r,500205 structure.c 595 DATA: Node 33, packet 23 sent; IPI 19000
1513357384.920835,1,1,r,215720 structure.c 398 DATA: Node 31, packet 10 received; ETE 53000
1513357387.041601,1,1,r,217858 structure.c 398 DATA: Node 28, packet 16 received; ETE 58000
1513357387.069709,1,1,r,217865 structure.c 398 DATA: Node 22, packet 14 received; ETE 59000
1513357389.170788,1,1,r,219984 structure.c 398 DATA: Node 32, packet 11 received; ETE 52000
1513357393.441612,1,1,r,224255 structure.c 398 DATA: Node 3, packet 9 received; ETE 54000
1513357393.469506,1,1,r,224261 structure.c 398 DATA: Node 8, packet 15 received; ETE 58000
1513357398.772670,1,1,r,229587 structure.c 398 DATA: Node 15, packet 11 received; ETE 54000
1513357398.802699,1,1,r,229593 structure.c 398 DATA: Node 33, packet 9 received; ETE 57000
1513357398.802699,1,1,r,229599 structure.c 398 DATA: Node 22, packet 15 received; ETE 59000
1513357398.802699,1,1,r,229606 structure.c 398 DATA: Node 28, packet 17 received; ETE 58000
1513357398.802699,1,1,r,229612 structure.c 398 DATA: Node 31, packet 11 received; ETE 53000
1513357405.160702,1,1,r,235974 structure.c 398 DATA: Node 32, packet 12 received; ETE 52000
1513357409.431829,1,1,r,240247 structure.c 398 DATA: Node 28, packet 18 received; ETE 58000
1513357409.460287,1,1,r,240253 structure.c 398 DATA: Node 3, packet 10 received; ETE 54000
1513357409.460287,1,1,r,240259 structure.c 398 DATA: Node 22, packet 16 received; ETE 59000
1513357414.765419,1,1,r,245577 structure.c 398 DATA: Node 8, packet 17 received; ETE 58000
1513357414.808129,1,1,r,245583 structure.c 398 DATA: Node 15, packet 12 received; ETE 54000
1513357414.808129,1,1,r,245589 structure.c 398 DATA: Node 31, packet 12 received; ETE 53000
1513357417.962405,1,1,r,248775 structure.c 398 DATA: Node 33, packet 10 received; ETE 57000
1513357417.990181,1,1,r,248781 structure.c 398 DATA: Node 28, packet 19 received; ETE 58000
1513357417.990181,1,1,r,248787 structure.c 398 DATA: Node 32, packet 13 received; ETE 52000
1513357421.150861,1,1,r,251964 structure.c 398 DATA: Node 22, packet 17 received; ETE 59000
1513357424.359998,1,1,r,255162 structure.c 398 DATA: Node 3, packet 11 received; ETE 54000
1513357429.702488,1,1,r,260501 structure.c 398 DATA: Node 28, packet 20 received; ETE 58000
1513357429.702488,1,1,r,260507 structure.c 398 DATA: Node 31, packet 13 received; ETE 53000
1513357429.702488,1,1,r,260513 structure.c 398 DATA: Node 15, packet 13 received; ETE 54000
1513357429.702488,1,1,r,260520 structure.c 398 DATA: Node 22, packet 18 received; ETE 59000
1513357430.740628,1,1,r,261558 structure.c 398 DATA: Node 32, packet 14 received; ETE 52000
1513357432.890449,1,1,r,263690 structure.c 398 DATA: Node 8, packet 19 received; ETE 58000
1513357436.081749,1,1,r,266894 structure.c 398 DATA: Node 33, packet 11 received; ETE 57000
1513357436.109524,1,1,r,266901 structure.c 398 DATA: Node 28, packet 21 received; ETE 58000
1513357439.270531,1,1,r,270086 structure.c 398 DATA: Node 3, packet 12 received; ETE 54000
1513357444.611915,1,1,r,275424 structure.c 398 DATA: Node 8, packet 20 received; ETE 58000
1513357444.640522,1,1,r,275431 structure.c 398 DATA: Node 22, packet 19 received; ETE 59000
1513357444.640522,1,1,r,275437 structure.c 398 DATA: Node 15, packet 14 received; ETE 54000
