1513657133.380162,22,22,r,196199 structure.c 595 DATA: Node 22, packet 34 sent; IPI 4000
1513657137.900448,22,22,r,200705 structure.c 595 DATA: Node 22, packet 35 sent; IPI 4000
1513657142.390444,22,22,r,205211 structure.c 595 DATA: Node 22, packet 36 sent; IPI 4000
1513657146.911353,22,22,r,209717 structure.c 595 DATA: Node 22, packet 37 sent; IPI 4000
1513656989.787295,3,3,r, 52582 structure.c 595 DATA: Node 3, packet 0 sent; IPI 4000
1513656994.295540,3,3,r, 57088 structure.c 595 DATA: Node 3, packet 1 sent; IPI 4000
1513656998.785039,3,3,r, 61594 structure.c 595 DATA: Node 3, packet 2 sent; IPI 4000
1513657003.306041,3,3,r, 66099 structure.c 595 DATA: Node 3, packet 3 sent; IPI 4000
1513657007.795152,3,3,r, 70605 structure.c 595 DATA: Node 3, packet 4 sent; IPI 4000
1513657012.316376,3,3,r, 75111 structure.c 595 DATA: Node 3, packet 5 sent; IPI 4000
1513657016.805465,3,3,r, 79617 structure.c 595 DATA: Node 3, packet 6 sent; IPI 4000
1513657021.315414,3,3,r, 84122 structure.c 595 DATA: Node 3, packet 7 sent; IPI 4000
1513657025.847111,3,3,r, 88628 structure.c 595 DATA: Node 3, packet 8 sent; IPI 4000
1513657030.325021,3,3,r, 93134 structure.c 595 DATA: Node 3, packet 9 sent; IPI 4000
1513657034.856079,3,3,r, 97639 structure.c 595 DATA: Node 3, packet 10 sent; IPI 4000
1513657039.335196,3,3,r,102145 structure.c 595 DATA: Node 3, packet 11 sent; IPI 4000
1513657043.865550,3,3,r,106651 structure.c 595 DATA: Node 3, packet 12 sent; IPI 4000
1513657048.345506,3,3,r,111157 structure.c 595 DATA: Node 3, packet 13 sent; IPI 4000
1513657052.856009,3,3,r,115663 structure.c 595 DATA: Node 3, packet 14 sent; IPI 4000
1513657057.375344,3,3,r,120168 structure.c 595 DATA: Node 3, packet 15 sent; IPI 4000
1513657061.865128,3,3,r,124674 structure.c 595 DATA: Node 3, packet 16 sent; IPI 4000
1513657066.386039,3,3,r,129180 structure.c 595 DATA: Node 3, packet 17 sent; IPI 4000
1513657070.875216,3,3,r,133686 structure.c 595 DATA: Node 3, packet 18 sent; IPI 4000
1513657075.385288,3,3,r,138192 structure.c 595 DATA: Node 3, packet 19 sent; IPI 4000
1513657079.886564,3,3,r,142697 structure.c 595 DATA: Node 3, packet 20 sent; IPI 4000
1513657084.395204,3,3,r,147203 structure.c 595 DATA: Node 3, packet 21 sent; IPI 4000
1513657088.915422,3,3,r,151709 structure.c 595 DATA: Node 3, packet 22 sent; IPI 4000
1513657093.405102,3,3,r,156215 structure.c 595 DATA: Node 3, packet 23 sent; IPI 4000
1513657097.926054,3,3,r,160721 structure.c 595 DATA: Node 3, packet 24 sent; IPI 4000
1513657102.415196,3,3,r,165226 structure.c 595 DATA: Node 3, packet 25 sent; IPI 4000
1513657106.925333,3,3,r,169732 structure.c 595 DATA: Node 3, packet 26 sent; IPI 4000
1513657111.445128,3,3,r,174238 structure.c 595 DATA: Node 3, packet 27 sent; IPI 4000
